Directory,rmsT,rmsW,TBDrms
s15157,8.390111697822911e-15,106230138476777.05,0.8912827274953549
s1843,1.503698517937904e-14,145156475551592.12,2.1827157715601864
s2698,5.084745447428649e-15,61838849959547.69,0.3144348108060334
s13806,1.9877325043562655e-14,232436147429355.7,4.620208854326753
s17032,6.537960329187789e-15,190351097981428.5,1.2445079272199173
s2666,9.491349144444166e-15,259183360143597.4,2.4599997635530975
s9546,6.42761326673314e-15,108107217751599.77,0.694871387049791
s7934,5.394208393430493e-15,49400109428376.76,0.2664744849149347
s5182,2.8675233839144676e-14,239623722991442.47,6.871266290186041
s11435,4.7764119246850515e-15,123658031684568.56,0.5906416971212552
s14964,4.8026293442506096e-15,175657659639440.1,0.8436186307267609
s19049,7.884759961344763e-15,158271694020561.66,1.247934316027534
s2715,5.657883443304243e-15,48978515106021.6,0.2771147296959864
s4841,1.3013844858275182e-14,230074229428321.28,2.9941503276673838
s11069,5.192835872634807e-15,98038440903334.75,0.5090975328200242
s2285,1.9282793717152587e-14,224659999594470.97,4.332072428675768
s18555,4.9579067844377e-15,177332051735325.97,0.8791957823968298
s16493,9.022431155201209e-15,27821451074262.566,0.25101712695533274
s2157,7.390419956512101e-15,133631028117587.48,0.9875894170094482
s12675,5.874409953879625e-15,157640936156973.6,0.9260474844994282
s15294,1.5613886338417226e-14,180628134065222.72,2.8203071548147762
s10911,6.659487417408946e-15,122845791504073.89,0.8180900028030229
s4292,1.095526954949172e-14,159354272268773.25,1.7457690065675044
s10269,9.606104332119431e-15,147321928886049.12,1.4151898192884673
s18840,7.290686289043354e-15,134894661489631.03,0.9834746589875974
s6233,1.514962651526053e-14,85944265604694.4,1.302023525039472
s16289,2.94364795428638e-14,188501336165478.97,5.548815725837613
s9793,3.483012589034517e-14,175426651427992.62,6.110132353758684
s11848,9.960889469679323e-15,25099132431215.234,0.25000968393217865
s8186,1.0468072608438593e-14,85736193442838.88,0.8974926981307741
s5680,6.5532046340827055e-15,178271530159463.97,1.168249817566014
