Directory,rmsT,rmsW,TBDrms
s10272,1.1716963460218557e-14,3.077729300236309e-08,3.6061641751312865e-22
s11537,7.564011673844066e-15,6.829170624449914e-09,5.165592632601212e-23
s10586,6.587591983040995e-15,2.9128891778617647e-08,1.9188925395569036e-22
s7451,8.38357231054087e-15,2.326598662318251e-08,1.9505208123152717e-22
s14647,7.903771280886018e-15,2.2696052813232058e-08,1.7938441041469586e-22
s7547,5.245797411119027e-15,1.3260537363897319e-08,6.956209257357968e-23
s12635,2.5347884978133264e-14,3.683664181933457e-08,9.337309598171862e-22
s9049,9.858679542249711e-15,4.9070828529702e-09,4.837735733470166e-23
s17205,1.772142914404262e-14,4.342707309817467e-08,7.6958979884246175e-22
s15320,6.2431720640658984e-15,9.05020102522662e-09,5.650196221487538e-23
s8971,8.039915561672583e-15,2.040636968315186e-08,1.6406548917281626e-22
s6672,1.087171801341796e-14,2.2218553882316388e-08,2.4155385247447663e-22
s17442,9.946254530284392e-15,4.381215105811961e-08,4.357668059433263e-22
s2453,8.867590150751194e-15,1.9937103407263372e-08,1.7679406180875673e-22
s416,1.2110030258917581e-14,2.6630031511796465e-08,3.224904874037839e-22
s3100,1.0371466187732772e-14,2.4733560178246596e-08,2.5652328309093834e-22
s12016,5.721358851614385e-15,2.3825788189535593e-08,1.3631588415488893e-22
s13928,1.8434531003008493e-14,4.495025059829775e-08,8.286367882473209e-22
s780,5.576010738671506e-15,3.7484798057483404e-08,2.0901563650546026e-22
s8029,5.855212479822975e-15,2.3746197967450218e-08,1.3903903468736149e-22
s13853,1.5278322869583913e-14,3.2188427971341237e-08,4.9178519521049735e-22
s19520,1.1806966358504863e-14,3.5303503304158295e-08,4.168272758495623e-22
s18315,1.2948207747953695e-14,1.8106885065529808e-08,2.344517094968001e-22
s18621,1.1409628702129266e-14,1.618228835392214e-08,1.8463390166904222e-22
s18850,7.694078382213773e-15,1.558025663600099e-08,1.198757157723979e-22
s17543,6.008069681136672e-15,2.683434933383365e-08,1.61222640645636e-22
s6231,4.9191262353218724e-15,1.4735940275550842e-08,7.248795041159837e-23
s16518,7.065389837107283e-15,1.8785859073042545e-08,1.3272941777600443e-22
s1069,9.118045119380962e-15,1.3479690474946014e-08,1.2290842594584755e-22
s657,6.2296059656547354e-15,2.7268568273073558e-08,1.6987243558880247e-22
s15953,1.4923300909995963e-14,2.1429449580995023e-08,3.1979812443277564e-22
s1785,5.19595795530954e-15,2.303589597446839e-08,1.1969354694622205e-22
s9775,8.394568773654443e-15,2.7387289635882038e-08,2.299044863724053e-22
s9857,1.0668068182209984e-14,4.121576795939018e-09,4.396926227729201e-23
s15495,2.4139237891714528e-14,3.242514170593934e-08,7.827182093122239e-22
s17565,5.941241669815925e-15,4.297494835427251e-08,2.5532455392059115e-22
s10602,5.673966005599124e-15,1.627753327573543e-08,9.235817046153139e-23
s6633,9.135783385172035e-15,5.120107480699435e-09,4.677619285246895e-23
s13338,4.854315465831375e-15,2.4956576108721017e-08,1.2114709337876224e-22
s1748,6.479994514918413e-15,3.136779584652778e-08,2.0326314503058058e-22
s14313,6.171455705567821e-15,2.421549832678646e-08,1.4944487531201434e-22
s6886,8.956043823232143e-15,2.3524729649925753e-08,2.106885096744236e-22
s13265,7.462335972591449e-15,2.6570611489218694e-08,1.982788299297483e-22
s12734,1.4933430321122294e-14,3.6898229197509304e-08,5.510171346938053e-22
s6573,5.477007238914291e-15,2.486824331106256e-08,1.3620354863377152e-22
s16965,1.0516518738129637e-14,1.7007367263924957e-08,1.788582965173194e-22
