1178,9775643148573  1,9286390510939297e-36  -194,74901771426775  1,3881409320599777e-18  4,127715873925862e-20
1177,3333756756433  5,691940170158032e-36  -185,50306064800532  -2,3593110251407334e-18  3,54389131897993e-19
1175,693766583223  1,679841176249863e-35  -176,54616682832045  3,3429321794613943e-18  -2,3713321585176797e-18
1174,0587179311356  4,957636804033792e-35  -167,87384228725645  -1,408256386619504e-18  6,898781195971017e-18
1172,428210719061  1,4631197052170966e-34  -159,48159305686164  -8,935476274703769e-18  -8,152866628733462e-18
1170,8022260520802  4,318011332328422e-34  -151,36492516918062  1,7511603945240194e-17  -1,1186816370080017e-17
1169,1807451399482  1,274343730294843e-33  -143,51934465626147  1,9470041178632553e-17  2,9920916209187106e-17
1167,5637492963667  3,760871046062791e-33  -135,94035755014886  -4,0387701296950224e-17  4,6148722951032095e-17
1165,951219938271  1,1099145462039492e-32  -128,6234698828909  -1,0361570605961445e-16  -1,905074591209142e-17
1164,3431385851138  3,275594542223138e-32  -121,56418768653386  -1,0410641066182719e-16  -1,4804661658188064e-16
1162,7394868581612  9,666973899599221e-32  -114,75801699312106  -2,7909252099909716e-17  -3,096624172275607e-16
1161,140246479793  2,852930328376498e-31  -108,20046383470275  9,797945238209576e-17  -5,250648148072335e-16
1159,5453992728067  8,41962030522382e-31  -101,88703424332306  1,955196345267103e-16  -8,965121878908974e-16
1157,9549271597305  2,4848216015802264e-30  -95,81323425102977  8,420224878855088e-18  -1,5763092023436315e-15
1156,3688121621387  7,333311035338653e-30  -89,97456988986792  -1,1514365136269693e-15  -2,4510212137852302e-15
1154,787036399976  2,1642539593310417e-29  -84,36654719188522  -4,1758709266207656e-15  -2,050522274327651e-15
1153,2095820908835  6,387352411344117e-29  -78,98467218912677  -7,214242729917176e-15  3,439218798983042e-15
1151,636431549534  1,885123264989621e-28  -73,8244509136402  -4,0866477230733576e-17  1,3729918296552272e-14
1150,0675671869712  5,56374187097614e-28  -68,88138939747071  2,294666425382639e-14  5,461207441562738e-15
1148,5029715099527  1,6421213158132175e-27  -64,1509936726658  1,009056995455118e-14  -3,924667774226918e-14
1146,9426271203008  4,846832176037658e-27  -59,628769771270775  -6,948761693155231e-14  -4,278232019362902e-15
1145,3865167142578  1,4306373625115264e-26  -55,31022372533306  3,902461146958474e-14  1,1306393467752315e-13
1143,8346230818458  4,223043127294969e-26  -51,19086156689851  1,2361504701236628e-13  -1,64163794501346e-13
1142,2869291062323  1,2466739223956522e-25  -47,266189328013084  -3,495139139685182e-13  5,0074106901396256e-14
1140,7434177631014  3,680616494304856e-25  -43,53171304072406  5,461297791468533e-13  2,642043030677109e-13
1139,2040721200292  1,0867757369295116e-24  -39,98293873707698  -6,819199520779972e-13  -7,885181772714272e-13
1137,6688753358642  3,209411223198226e-24  -36,61537244911902  8,384625580691271e-13  1,583158792387675e-12
1136,1378106601142  9,479711838351106e-24  -33,42452020889581  -1,305292006432684e-12  -2,788534492577426e-12
1134,610861432336  2,8007375804632957e-23  -30,405888048454436  2,8145405691025514e-12  4,481711413010531e-12
1133,0880110815315  8,277260223820987e-23  -27,55498199984065  -6,843773783408124e-12  -5,994611133321787e-12
1131,5692431255493  2,4472309731992936e-22  -24,86730809510143  1,509577202315161e-11  4,103750034415177e-12
